"title","year","actors","directors","country","language","description"
"I'll Be Home for Christmas",1998,"Jonathan Taylor Thomas Jessica Biel Adam La Vorgna Gary Cole Eve Gordon Sean O'Bryan Andrew Lauer","Arlene Sanford","United States","English","Jake Wilkinson (Jonathan Taylor Thomas) is an 18-year-old attending the (fictional) Palisades Academy in California. He has not been home to Larchmont, New York for any holidays since his mother died and his father remarried shortly after. A few days before Christmas Eve, his father offers to give him his vintage 1957 Porsche 356 if he is home by 6:00 p.m., Christmas Eve for Christmas dinner. Initially, Jake had traded in his airline ticket to New York City for two tickets to Cabo San Lucas to take his girlfriend, Allie Henderson (Jessica Biel), who is also from New York, but she declines. Jake reconsiders following the deal with his father and trades the tickets back in for New York and Allie agrees to ride with him."
"Jack Frost",1998,"Michael Keaton Kelly Preston Mark Addy Joseph Cross","Troy Miller","United States","English","Jack Frost is the lead singer in a rock band simply titled ""The Jack Frost Band"", based in the fictional town of Medford, Colorado, USA, who make their living performing blues covers and an assortment of their own songs in the hope of signing a record deal. He then returns to his 11-year-old son Charlie, who has just returned from an epic snowball fight against local bully Rory Buck. Jack and Charlie spend some quality time by building a snowman in their front yard. Afterward, Jack tucks Charlie into bed and gives him his best harmonica, which Jack got the day Charlie was born. He then jokes with Charlie, telling him that it's magical, and he'll be able to hear the harmonica wherever he is. Jack promises his wife Gabby that he will attend his son's hockey game. However, he misses the hockey game in favor of recording the ironically-named ""Don't Lose Your Faith"". To make up for it, Jack then promises to take his family on a Christmas trip to the mountains, but is called in on a gig that could either make or break his career."
"The Land Before Time VI:
The Secret of Saurus Rock",1998,"Thomas Dekker Anndi Mc Afee Aria Noelle Curzon Nancy Cartwright Sandy Fox Kris Kristofferson John Ingle Kenneth Mars Miriam Flynn Jeff Bennett","Charles Grosvenor","United States","English","One night, Littlefoot's grandfather tells the children a legend about ""The Lone Dinosaur"", a legendary Longneck who protected the Great Valley from the most ferocious Sharptooth to ever live. During the fight, the Sharptooth was killed and the Lone Dinosaur suffered a scar across his right eye. Soon after the battle, a huge monolith resembling a sauropod with life-sized Sharptooth teeth arranged around his neck came out of the ground during an earthshake. The dinosaurs called it ""Saurus Rock"". The legend also states that if anyone damages the monolith, bad luck would descend upon the Valley."
"The Lion King II:
Simba's Pride",1998,"Matthew Broderick Moira Kelly Nathan Lane Ernie Sabella Robert Guillaume Edward Hibbert James Earl Jones Jim Cummings","Darrell Rooney Rob La Duca","United States","English","In the Pride Lands of Africa, King Simba and Queen Nala's newborn daughter, Kiara, is presented to the assembled animals by Rafiki, a mandrill who serves as shaman and advisor. Simba's father Mufasa proudly watches over the ceremony from the Heavens above. Kiara becomes annoyed with her father's overprotective parenting. Simba assigns Timon and Pumbaa, a meerkat and warthog, to follow her. Kiara ignores her father's warning and the duo's attention and enters the ""Outlands,"" where she meets a young cub, Kovu, and they escape from crocodiles while befriending each other. When Kovu retaliates to Kiara's playing, Simba confronts the young cub just as he is confronted by Zira, Kovu's mother and Scar's mate. Zira reminds Simba of how he exiled her and the other Outsiders, and she reveals that Scar selected Kovu to be his successor despite not being his biological father."
"Madeline",1998,"Frances Mc Dormand Nigel Hawthorne","Daisy von Scherler Mayer","France United States","English French Spanish","In an old house in Paris that was covered in vines lived twelve little girls in two straight lines. In two straight lines they broke their bread and brushed their teeth and went to bed. They smiled at the good and frowned at the bad and sometimes they were very sad. They left the house at half past nine in two straight lines in rain or shine — the smallest one was Madeline."
"Meet the Deedles",1998,"Paul Walker Steve Van Wormer John Ashton A. J. Langer Robert Englund Dennis Hopper","Steve Boyum","United States","English","Phil Deedle (Paul Walker) and Stew Deedle (Steve Van Wormer) are two fraternal twin brothers who are complete surf bums living in Hawaii off of their wealthy single father. After the two decide to skip school to go on a special surfing expedition with friends for their 18th birthday, the twins are expelled from their high school for truancy and knocking a truancy officer into the ocean. Their single father Elton Deedle (Eric Braeden) has become tired of their insolent, goofball, and lazy lifestyle and thus decides to ship them to a boot camp to straighten them out. The boys are horrified that they’re going to have to fly state-side in order for this to happen, as the camp is located in Yellowstone National Park in Wyoming."
"The Mighty Kong",1998,"Dudley Moore Jodi Benson Randy Hamilton William Sage Jason Gray-Stanford Richard Newman Don Brown Ian James Corlett Michael Dobson Paul Dobson","Art Scott","United States","English","Ann Darrow, a down-on-her-luck actress looking for work, meets film director Carl Denham, who offers her a job in a new movie. They board the Venture to leave for the film shoot. The monkey that lives on board causes trouble throughout the trip. They arrive on the island and the natives, who are friendly to the crew, ask that the crew leave Ann so they can sacrifice her. Ann is then sacrificed to the giant ape King Kong who makes off with her into the jungle. Together they fight a Tyrannosaurus, Pterodactylus and a Titanoboa and are off the island in five minutes."
"Mulan",1998,"See cast","Barry Cook Tony Bancroft","United States","English","The film begins with a soldier walking through the Great Wall, when a falcon named Hayabusa knocks off his helmet. After the Huns, who are led by the ruthless Shan Yu, invade Han China by breaching the Great Wall, the Chinese emperor orders a general mobilization. Conscription notices require one man from each family to join the Chinese army."
"My Date with the President's Daughter",1998,"Dabney Coleman Will Friedle Elisabeth Harnois Mimi Kuzyk Jay Thomas","Alex Zamm"," of origin United States",NA,"Duncan Fletcher (Will Friedle) is an average teenager in search of a date to his school's spring dance. At the mall with his friends, he meets a girl named Hallie (Elisabeth Harnois), who happens to be the daughter of the President of the United States, George Richmond (Dabney Coleman). Duncan, not realizing this, asks her to his school's dance. She accepts and gives him her address and he replies by telling her he will pick her up at 7:00."
"Disney's Noah",1998,"Tony Danza Wallace Shawn Jane Sibbett","Ken Kwapis","United States","English","In order to save his family and home town, contractor Norman Waters (Tony Danza) is tasked by an angel named Zach (Wallace Shawn) to rebuild Noah's Ark in 40 days to prepare for a great massive flood."
"The Parent Trap",1998,"Dennis Quaid Natasha Richardson Lindsay Lohan","Nancy Meyers","United States United Kingdom","English","In 1986, American Nick Parker (Dennis Quaid) and Briton Elizabeth James (Natasha Richardson) meet and get married during an ocean cruise on the RMS Queen Elizabeth II. After the birth of their twin daughters—Annie and Hallie (Lindsay Lohan)—Nick and Elizabeth get a divorce. The divorcing couple agrees that each parent will raise one of the twins without telling her about her sister, and thereafter lose contact with one another. Nick raises Hallie in Napa Valley and becomes a wealthy wine grower, while Elizabeth raises Annie in London and becomes a famous and successful wedding gown designer."
"Paulie",1998,"Gena Rowlands Tony Shalhoub Cheech Marin Bruce Davison Jay Mohr","John Roberts","United States","English","The film is a picaresque tale about an intelligent talking blue-crowned conure named Paulie, and his long quest to return to his owner."
"Pocahontas II:
Journey to a New World",1998,"Irene Bedard Billy Zane Jim Cummings Donal Gibson David Ogden Stiers Linda Hunt Jean Stapleton Russell Means Finola Hughes Brad Garrett","Tom Ellery Bradley Raymond","United States","English","In London, John Smith is ambushed by a group of soldiers with a warrant for his arrest and presumed dead in the ensuing confrontation; Governor Ratcliffe has lied to King James (being a personal friend of the King) and framed Smith as the traitor from the first film in a plot to declare war against the Powhatan Nation and get ahold of the gold he still believes them to possess, all while avoiding punishment for his own crimes. In order to prevent this, the King sends a young diplomat, John Rolfe, to bring Chief Powhatan to England for negotiations. In the New World, Pocahontas, Powhatan's daughter, mourns John Smith's death but is eventually able to move on. John Rolfe soon arrives, greeted by English civilians (who by now have settled in Jamestown) and a curious Pocahontas. Rolfe eventually speaks with Powhatan, but he refuses to accompany him to England, so Pocahontas goes in her father's stead, believing that she can bring about peace between the two nations. Powhatan sends a bodyguard, Uttamatomakkin (Uti) to accompany Pocahontas. Rolfe and Pocahontas have a rocky start, but gradually warm up to each other."
